11/1 21:18:27.421  Naljub gains Prayer of Fortitude.
11/1 21:18:27.437  Shagz gains Prayer of Fortitude.
11/1 21:18:27.437  Extremehorde gains Prayer of Fortitude.
11/1 21:18:27.437  Power Word: Fortitude fades from Naewenn.
11/1 21:18:27.437  Naewenn gains Prayer of Fortitude.
11/1 21:18:27.437  Ugor gains Prayer of Fortitude.
11/1 21:18:30.281  Warp Stalker gains Arcane Brilliance.
11/1 21:18:30.281  Kikoman gains Arcane Brilliance.
11/1 21:18:30.281  Demonea gains Arcane Brilliance.
11/1 21:18:30.281  Krakenskull gains Arcane Brilliance.
11/1 21:18:30.296  Caridwen gains Arcane Brilliance.
11/1 21:18:30.296  Aurus gains Arcane Brilliance.
11/1 21:18:36.203  Naljub gains Arcane Brilliance.
11/1 21:18:36.203  Shagz gains Arcane Brilliance.
11/1 21:18:36.203  Extremehorde gains Arcane Brilliance.
11/1 21:18:36.203  Arcane Intellect fades from Naewenn.
11/1 21:18:36.203  Naewenn gains Arcane Brilliance.
11/1 21:18:36.218  Ugor gains Arcane Brilliance.
11/1 21:18:44.171  You gain Arcane Brilliance.
11/1 21:18:44.171  Siid gains Arcane Brilliance.
11/1 21:18:44.187  Lavode gains Arcane Brilliance.
11/1 21:18:48.750  Chiv begins to cast Flash of Light.
11/1 21:18:50.296  Lavode gains Unstable Flask of the Sorcerer.
11/1 21:18:50.312  Chiv 's Flash of Light heals Extremehorde for 1513.
11/1 21:18:50.546  Chiv begins to cast Flash of Light.
11/1 21:18:52.359  Chiv 's Flash of Light heals Extremehorde for 1543.
11/1 21:18:55.406  Rok begins to cast Heavy Netherweave Bandage.
11/1 21:18:58.531  Rok creates Heavy Netherweave Bandage.
11/1 21:19:00.656  Demonea gains Unstable Flask of the Physician.
11/1 21:19:04.578  Phase Shift fades from Choqua.
11/1 21:19:06.250  Mechanicbob gains Unstable Flask of the Bandit.
11/1 21:19:15.640  Mechanicbob begins to perform Instant Poison VII.
11/1 21:19:17.203  Rok gains Prayer of Fortitude.
11/1 21:19:17.203  Mallousx gains Prayer of Fortitude.
11/1 21:19:17.218  Ceedar gains Prayer of Fortitude.
11/1 21:19:17.218  Chadu gains Prayer of Fortitude.
11/1 21:19:17.218  Mechanicbob gains Prayer of Fortitude.
11/1 21:19:18.875  Mechanicbob casts Instant Poison VII on Mechanicbob 's Fool's Bane.
